song_slug,era_label,n,pct_ge_10,pct_ge_15,pct_ge_20,median_duration,median_position
bill-bailey-won-t-you-please-come-home,3.0 (2009–2020),1.0,0.0,0.0,0.0,306.129,4.0
billie-jean,3.0 (2009–2020),1.0,1.0,0.0,0.0,637.205,18.0
billy-breathes,1.0 (1983–2000),51.0,0.0,0.0,0.0,394.762,6.0
billy-breathes,2.0 (2003–2004),2.0,0.0,0.0,0.0,314.80150000000003,4.5
billy-breathes,3.0 (2009–2020),9.0,0.1111111111111111,0.0,0.0,338.521,16.0
billy-breathes,4.0 (2021–present),4.0,0.0,0.0,0.0,324.804,13.5
birds-of-a-feather,1.0 (1983–2000),48.0,0.2708333333333333,0.10416666666666667,0.020833333333333332,526.694,9.0
birds-of-a-feather,2.0 (2003–2004),10.0,0.5,0.2,0.1,596.5385,7.0
birds-of-a-feather,3.0 (2009–2020),64.0,0.15625,0.03125,0.015625,411.2455,12.0
birds-of-a-feather,4.0 (2021–present),18.0,0.2222222222222222,0.16666666666666666,0.0,507.568,6.5
birthday,1.0 (1983–2000),1.0,0.0,0.0,0.0,218.436,30.0
bitchin-again,1.0 (1983–2000),1.0,0.0,0.0,0.0,275.184,32.0
bittersweet-motel,1.0 (1983–2000),13.0,0.0,0.0,0.0,242.26,15.0
bittersweet-motel,2.0 (2003–2004),1.0,0.0,0.0,0.0,163.5,15.0
bittersweet-motel,3.0 (2009–2020),4.0,0.0,0.0,0.0,291.2265,21.0
bittersweet-motel,4.0 (2021–present),1.0,0.0,0.0,0.0,189.072,18.0
black-and-tan-fantasy,1.0 (1983–2000),1.0,0.0,0.0,0.0,202.971,17.0
black-eyed-katy,1.0 (1983–2000),7.0,0.2857142857142857,0.0,0.0,491.468,4.0
blackberry-blossom,1.0 (1983–2000),1.0,0.0,0.0,0.0,102.48,1.0
blackbird,1.0 (1983–2000),2.0,0.0,0.0,0.0,136.90800000000002,19.0
blaze-on,3.0 (2009–2020),50.0,0.46,0.08,0.02,548.64,8.5
blaze-on,4.0 (2021–present),45.0,0.37777777777777777,0.08888888888888889,0.022222222222222223,551.208,9.0
bliss,3.0 (2009–2020),1.0,0.0,0.0,0.0,91.368,8.0
bliss,4.0 (2021–present),1.0,0.0,0.0,0.0,325.2,15.0
blister-in-the-sun,1.0 (1983–2000),2.0,0.0,0.0,0.0,106.6445,13.0
blister-in-the-sun,3.0 (2009–2020),2.0,0.0,0.0,0.0,58.266,18.0
blue-bayou,1.0 (1983–2000),2.0,0.0,0.0,0.0,179.5525,23.5
