venue_slug,song_slug,count_song_venue,count_venue,count_song,share_venue,share_global,affinity,affinity_log
gorge-amphitheatre,birds-of-a-feather,3,423,140,0.0070921985815602835,0.0035845964768537486,1.9785207700101317,1.0914267913744058
greek-theatre,birds-of-a-feather,1,50,140,0.02,0.0035845964768537486,5.579428571428571,1.883947898318195
gte-virginia-beach-amphitheater,birds-of-a-feather,2,55,140,0.03636363636363636,0.0035845964768537486,10.144415584415583,2.4109385279946207
hampton-coliseum,birds-of-a-feather,3,430,140,0.0069767441860465115,0.0035845964768537486,1.9463122923588039,1.0805543179751336
hersheypark-stadium,birds-of-a-feather,2,97,140,0.020618556701030927,0.0035845964768537486,5.751988217967599,1.9098370123228798
hollywood-bowl,birds-of-a-feather,3,147,140,0.02040816326530612,0.0035845964768537486,5.693294460641399,1.9011061984654563
huntington-bank-pavilion-at-northerly-island,birds-of-a-feather,1,58,140,0.017241379310344827,0.0035845964768537486,4.8098522167487685,1.7595551345246163
keyspan-park,birds-of-a-feather,1,39,140,0.02564102564102564,0.0035845964768537486,7.153113553113553,2.098399885354365
klipsch-music-center,birds-of-a-feather,1,71,140,0.014084507042253521,0.0035845964768537486,3.929175050301811,1.5951716414569563
lake-tahoe-outdoor-arena-at-harveys,birds-of-a-feather,1,122,140,0.00819672131147541,0.0035845964768537486,2.2866510538641687,1.1898691295895638
lakewood-amphitheatre,birds-of-a-feather,2,138,140,0.014492753623188406,0.0035845964768537486,4.043064182194617,1.6180138700004374
les-schwab-amphitheater,birds-of-a-feather,1,37,140,0.02702702702702703,0.0035845964768537486,7.53976833976834,2.144733880941722
loring-commerce-centre,birds-of-a-feather,2,176,140,0.011363636363636364,0.0035845964768537486,3.17012987012987,1.4279471792417844
lucerna-theatre,birds-of-a-feather,1,32,140,0.03125,0.0035845964768537486,8.717857142857143,2.2739651356139965
madison-square-garden,birds-of-a-feather,8,1798,140,0.004449388209121246,0.0035845964768537486,1.241252184967424,0.8070347208245938
mcnichols-arena,birds-of-a-feather,1,45,140,0.022222222222222223,0.0035845964768537486,6.199365079365079,1.9739928387121062
merriweather-post-pavilion,birds-of-a-feather,3,430,140,0.0069767441860465115,0.0035845964768537486,1.9463122923588039,1.0805543179751336
mgm-grand-garden-arena,birds-of-a-feather,3,337,140,0.008902077151335312,0.0035845964768537486,2.483425180161085,1.248016056905453
mohegan-sun-arena,birds-of-a-feather,1,85,140,0.011764705882352941,0.0035845964768537486,3.282016806722689,1.4544241151300568
moon-palace,birds-of-a-feather,1,380,140,0.002631578947368421,0.0035845964768537486,0.7341353383458646,0.550508925108393
naeba-ski-resort,birds-of-a-feather,1,63,140,0.015873015873015872,0.0035845964768537486,4.4281179138321995,1.691592464992424
nassau-veterans-memorial-coliseum,birds-of-a-feather,2,128,140,0.015625,0.0035845964768537486,4.358928571428572,1.678764061711172
new-orleans-fairgrounds,birds-of-a-feather,1,37,140,0.02702702702702703,0.0035845964768537486,7.53976833976834,2.144733880941722
new-world-music-theatre,birds-of-a-feather,1,25,140,0.04,0.0035845964768537486,11.158857142857142,2.4980578871587515
nikon-at-jones-beach-theater,birds-of-a-feather,1,178,140,0.0056179775280898875,0.0035845964768537486,1.5672552166934188,0.9428373191103363
ntelos-pavilion,birds-of-a-feather,2,140,140,0.014285714285714285,0.0035845964768537486,3.9853061224489794,1.6064948102443073
oak-mountain-amphitheatre,birds-of-a-feather,1,106,140,0.009433962264150943,0.0035845964768537486,2.631805929919137,1.2897300259191242
oklahoma-city-zoo-amphitheatre,birds-of-a-feather,1,24,140,0.041666666666666664,0.0035845964768537486,11.623809523809523,2.5355846755715565
oswego-county-airport,birds-of-a-feather,1,48,140,0.020833333333333332,0.0035845964768537486,5.811904761904762,1.9186717817726961
pepsi-arena,birds-of-a-feather,1,140,140,0.007142857142857143,0.0035845964768537486,1.9926530612244897,1.0961603054208229
pima-county-fairgrounds,birds-of-a-feather,1,26,140,0.038461538461538464,0.0035845964768537486,10.72967032967033,2.4621215573829947
pnc-bank-arts-center,birds-of-a-feather,1,125,140,0.008,0.0035845964768537486,2.2317714285714287,1.1730304168001258
polaris-amphitheater,birds-of-a-feather,1,73,140,0.0136986301369863,0.0035845964768537486,3.8215264187866924,1.573090562324169
polo-fields-golden-gate-park,birds-of-a-feather,1,27,140,0.037037037037037035,0.0035845964768537486,10.332275132275132,2.4276548609071322
portland-meadows,birds-of-a-feather,2,39,140,0.05128205128205128,0.0035845964768537486,14.306227106227105,2.7282597460031908
providence-civic-center,birds-of-a-feather,1,85,140,0.011764705882352941,0.0035845964768537486,3.282016806722689,1.4544241151300568
randall-s-island,birds-of-a-feather,1,57,140,0.017543859649122806,0.0035845964768537486,4.894235588972431,1.7739748544994518
riverport-amphitheater,birds-of-a-feather,1,64,140,0.015625,0.0035845964768537486,4.358928571428572,1.678764061711172
ruoff-music-center,birds-of-a-feather,1,173,140,0.005780346820809248,0.0035845964768537486,1.6125516102394715,0.9603273722113868
sandstone-amphitheatre,birds-of-a-feather,1,58,140,0.017241379310344827,0.0035845964768537486,4.8098522167487685,1.7595551345246163
santa-barbara-bowl,birds-of-a-feather,1,73,140,0.0136986301369863,0.0035845964768537486,3.8215264187866924,1.573090562324169
saratoga-performing-arts-center,birds-of-a-feather,1,453,140,0.002207505518763797,0.0035845964768537486,0.615830968148849,0.4798493557102638
snhu-arena,birds-of-a-feather,1,54,140,0.018518518518518517,0.0035845964768537486,5.166137566137566,1.8190726396493313
starplex-amphitheatre,birds-of-a-feather,1,29,140,0.034482758620689655,0.0035845964768537486,9.619704433497537,2.3627111843057405
susquehanna-bank-center,birds-of-a-feather,1,92,140,0.010869565217391304,0.0035845964768537486,3.0322981366459625,1.394336470655973
td-pavilion-at-the-mann,birds-of-a-feather,1,117,140,0.008547008547008548,0.0035845964768537486,2.3843711843711843,1.2191681237816328
the-comcast-theatre,birds-of-a-feather,1,65,140,0.015384615384615385,0.0035845964768537486,4.291868131868132,1.6661713275499757
the-fillmore,birds-of-a-feather,1,20,140,0.05,0.0035845964768537486,13.948571428571428,2.704615738653575
the-forum,birds-of-a-feather,2,149,140,0.013422818791946308,0.0035845964768537486,3.7445829338446788,1.5570035322756735
the-grey-hall,birds-of-a-feather,2,59,140,0.03389830508474576,0.0035845964768537486,9.456658595641645,2.3472389616796985
the-mann-center-for-the-performing-arts,birds-of-a-feather,3,223,140,0.013452914798206279,0.0035845964768537486,3.7529788597053173,1.5587715498427503
the-pavilion-at-star-lake,birds-of-a-feather,1,40,140,0.025,0.0035845964768537486,6.974285714285714,2.076222079052863
thomas-mack-center,birds-of-a-feather,1,192,140,0.005208333333333333,0.0035845964768537486,1.4529761904761904,0.8973020589415127
times-union-center,birds-of-a-feather,1,81,140,0.012345679012345678,0.0035845964768537486,3.4440917107583773,1.4915755085487772
tweeter-center,birds-of-a-feather,1,100,140,0.01,0.0035845964768537486,2.7897142857142856,1.3322906298975712
utica-memorial-auditorium,birds-of-a-feather,1,23,140,0.043478260869565216,0.0035845964768537486,12.12919254658385,2.5748381895907837
van-andel-arena,birds-of-a-feather,2,83,140,0.024096385542168676,0.0035845964768537486,6.7222030981067125,2.044099698727294
ventura-county-fairgrounds,birds-of-a-feather,1,38,140,0.02631578947368421,0.0035845964768537486,7.341353383458646,2.12122547939938
verizon-theatre-at-grand-prairie,birds-of-a-feather,1,67,140,0.014925373134328358,0.0035845964768537486,4.163752665245203,1.6416635758739866
verizon-wireless-amphitheatre-at-encore-park,birds-of-a-feather,2,251,140,0.00796812749003984,0.0035845964768537486,2.2228799089356857,1.1702753414924056
verizon-wireless-music-center,birds-of-a-feather,1,154,140,0.006493506493506494,0.0035845964768537486,1.8115027829313544,1.0337191385882758
wachovia-center,birds-of-a-feather,1,38,140,0.02631578947368421,0.0035845964768537486,7.341353383458646,2.12122547939938
watkins-glen-international,birds-of-a-feather,1,180,140,0.005555555555555556,0.0035845964768537486,1.5498412698412698,0.9360311101118316
worcester-centrum-centre,birds-of-a-feather,1,206,140,0.0048543689320388345,0.0035845964768537486,1.3542302357836338,0.8562138102506274
xfinity-center,birds-of-a-feather,1,129,140,0.007751937984496124,0.0035845964768537486,2.1625692137320045,1.1513847395792094
xfinity-theatre,birds-of-a-feather,1,37,140,0.02702702702702703,0.0035845964768537486,7.53976833976834,2.144733880941722
xl-center,birds-of-a-feather,1,21,140,0.047619047619047616,0.0035845964768537486,13.284353741496597,2.6591647943021046
zeleste,birds-of-a-feather,1,46,140,0.021739130434782608,0.0035845964768537486,6.064596273291925,1.9550958698882361
allstate-arena,come-on-baby-let-s-go-downtown,1,122,2,0.00819672131147541,5.1208521097910693e-05,160.0655737704918,5.081811572564151
allstate-arena,destiny-unbound,1,122,56,0.00819672131147541,0.0014338385907414993,5.716627634660422,1.9045861884908863
alpine-valley-music-theatre,destiny-unbound,1,541,56,0.0018484288354898336,0.0014338385907414993,1.2891470821230526,0.8281792949668456
ameris-bank-amphitheatre,destiny-unbound,1,89,56,0.011235955056179775,0.0014338385907414993,7.836276083467094,2.178865530369327
atlantic-city-beach,destiny-unbound,1,111,56,0.009009009009009009,0.0014338385907414993,6.283140283140283,1.9855621267748764
barcela3-maya-beach,destiny-unbound,1,178,56,0.0056179775280898875,0.0014338385907414993,3.918138041733547,1.5929300120730288
billings-lounge-university-of-vermont,destiny-unbound,1,62,56,0.016129032258064516,0.0014338385907414993,11.248847926267281,2.505431885732731
bridgestone-arena,destiny-unbound,1,57,56,0.017543859649122806,0.0014338385907414993,12.235588972431078,2.5829093358170696
britt-ballroom-southern-oregon-state-college,destiny-unbound,1,23,56,0.043478260869565216,0.0014338385907414993,30.32298136645963,3.4443520570922623
campus-club,destiny-unbound,1,128,56,0.0078125,0.0014338385907414993,5.448660714285714,1.86387246805125
chase-center,destiny-unbound,1,30,56,0.03333333333333333,0.0014338385907414993,23.247619047619047,3.1883184289598283
chuy-s,destiny-unbound,1,24,56,0.041666666666666664,0.0014338385907414993,29.05952380952381,3.4031795428661464
club-bene,destiny-unbound,1,23,56,0.043478260869565216,0.0014338385907414993,30.32298136645963,3.4443520570922623
cochran-lounge-student-union-macalester-college,destiny-unbound,1,28,56,0.03571428571428571,0.0014338385907414993,24.908163265306122,3.2545581030341064
elk-ballroom,destiny-unbound,1,53,56,0.018867924528301886,0.0014338385907414993,13.159029649595688,2.650352558346526
