song_slug,era_label,x_umap,y_umap,n
anything-but-me,2.0 (2003–2004),0.4362706006284678,0.7038108254878589,2
anything-but-me,3.0 (2009–2020),0.2558328727770043,0.7981945944201939,2
army-of-one,2.0 (2003–2004),0.19998391841765556,0.8162958841530102,2
army-of-one,3.0 (2009–2020),0.21648966383756985,0.8253870218906507,10
army-of-one,4.0 (2021–present),0.1958518467426279,0.8200438224917118,3
ass-handed,3.0 (2009–2020),0.1459053829879095,0.7445331950655973,4
ass-handed,4.0 (2021–present),0.12512107704579328,0.6507081208290542,3
auld-lang-syne,1.0 (1983–2000),0.0958921488600617,0.0962887818614624,10
auld-lang-syne,2.0 (2003–2004),0.060057228760711324,0.0768653719888541,1
auld-lang-syne,3.0 (2009–2020),0.13299528572255456,0.07699407981205357,11
auld-lang-syne,4.0 (2021–present),0.12751836205764783,0.0373679001433708,4
auld-lang-syne,Other/Hiatus,0.6158876048250262,0.5310071255830846,1
avenu-malkenu,1.0 (1983–2000),0.15122937451076834,0.6000991215278467,14
avenu-malkenu,2.0 (2003–2004),0.02397260407387237,0.49928616786298846,1
avenu-malkenu,3.0 (2009–2020),0.21456837787524474,0.7989657604647225,4
avenu-malkenu,4.0 (2021–present),0.1886314248953454,0.9183297374021029,2
axilla,1.0 (1983–2000),0.17353438005794802,0.6842393679132536,8
axilla,2.0 (2003–2004),0.20060110738351156,0.7779043767586911,2
axilla,3.0 (2009–2020),0.22279101143859634,0.7036533170518828,11
axilla,4.0 (2021–present),0.29298068404765876,0.8284936758828783,4
axilla-part-ii,1.0 (1983–2000),0.3918433750964777,0.5551238614634273,2
axilla-part-ii,4.0 (2021–present),0.2776776825189627,0.5929440869692034,5
baby-lemonade,1.0 (1983–2000),0.09704551402023033,0.07397657057365846,1
baby-lemonade,4.0 (2021–present),0.13717929589026867,0.0301798808635572,1
back-in-the-u-s-s-r,1.0 (1983–2000),0.09497396139981458,0.15732532312125747,1
back-in-the-u-s-s-r,3.0 (2009–2020),0.24890672099934488,0.9992158515969277,1
back-on-the-train,1.0 (1983–2000),0.5849549095456743,0.5982138668883562,2
back-on-the-train,2.0 (2003–2004),0.34834626506544347,0.6778162152703313,2
back-on-the-train,3.0 (2009–2020),0.47646453529511856,0.6252868961767896,12
back-on-the-train,4.0 (2021–present),0.4888640283528759,0.6338022076192706,5
backwards-down-the-number-line,3.0 (2009–2020),0.5799777743746154,0.46931164536389863,11
backwards-down-the-number-line,4.0 (2021–present),0.2816047547702475,0.3108154692438047,5
bathtub-gin,1.0 (1983–2000),0.4243803072732999,0.46735591755428263,12
bathtub-gin,2.0 (2003–2004),0.4175223707404823,0.4609771455166418,2
bathtub-gin,3.0 (2009–2020),0.46907034952347604,0.5032440554628672,12
bathtub-gin,4.0 (2021–present),0.4470905535228051,0.5023608250485275,5
beauty-of-a-broken-heart,3.0 (2009–2020),0.20426424482297917,0.682986483144854,6
beauty-of-a-broken-heart,4.0 (2021–present),0.1967976040210753,0.777566730833843,2
beauty-of-my-dreams,1.0 (1983–2000),0.4732376491571504,0.7247544497876541,4
beauty-of-my-dreams,2.0 (2003–2004),0.26940420548986765,0.9683158391887219,1
beauty-of-my-dreams,3.0 (2009–2020),0.18058126095885538,0.907484063544705,4
beauty-of-my-dreams,4.0 (2021–present),0.17343306091198796,0.8805755975639005,4
been-caught-stealing,1.0 (1983–2000),0.15009629265832836,0.20954435570983654,1
been-caught-stealing,3.0 (2009–2020),0.026596342451619057,0.47320473739629165,1
beneath-a-sea-of-stars-part-1,3.0 (2009–2020),0.3865176151275318,0.376739597545258,2
beneath-a-sea-of-stars-part-1,4.0 (2021–present),0.3450502044928536,0.4103694944281391,5
big-black-furry-creature-from-mars,1.0 (1983–2000),0.22319426071684995,0.2314015626436108,14
big-black-furry-creature-from-mars,2.0 (2003–2004),0.05375417935069672,0.08020687068720121,1
big-black-furry-creature-from-mars,3.0 (2009–2020),0.13679530217064095,0.6541789084767664,10
big-black-furry-creature-from-mars,4.0 (2021–present),0.07091816347089151,0.5319490148725993,4
bike,1.0 (1983–2000),0.1859394552542235,0.20050666995692554,13
bike,3.0 (2009–2020),0.1663795291160142,0.1169727706129054,5
bill-bailey-won-t-you-please-come-home,1.0 (1983–2000),0.17454364505464254,0.13363867871621699,6
bill-bailey-won-t-you-please-come-home,2.0 (2003–2004),0.3058817635194525,0.8810066072185446,1
bill-bailey-won-t-you-please-come-home,3.0 (2009–2020),0.26151654380801825,0.8913272684527199,1
billy-breathes,1.0 (1983–2000),0.4004675304994414,0.7028371137295055,6
billy-breathes,2.0 (2003–2004),0.22587076286212368,0.8269821434806082,1
billy-breathes,3.0 (2009–2020),0.1217808104469584,0.3862789208477803,8
billy-breathes,4.0 (2021–present),0.10729739589803752,0.45944852800509756,3
birds-of-a-feather,1.0 (1983–2000),0.4647576374880717,0.5531809242407203,3
birds-of-a-feather,2.0 (2003–2004),0.4310705028503148,0.4917958758080385,2
birds-of-a-feather,3.0 (2009–2020),0.30601885781716015,0.5353075289450807,11
birds-of-a-feather,4.0 (2021–present),0.3633459274716484,0.6460573913692722,5
