song_slug,n,pct_ge_10,pct_ge_15,pct_ge_20,median_duration,median_position
call-it-stormy-monday-but-tuesday-is-just-as-bad,1.0,0.0,0.0,0.0,364.931,2.0
camel-walk,66.0,0.030303030303030304,0.030303030303030304,0.0,324.545,7.0
can-t-always-listen,2.0,0.0,0.0,0.0,360.111,6.5
can-t-you-hear-me-knocking,4.0,0.25,0.25,0.0,519.693,6.0
cannonball,1.0,0.0,0.0,0.0,348.97,19.0
caravan,45.0,0.1111111111111111,0.0,0.0,424.45050000000003,13.0
carefree,1.0,1.0,0.0,0.0,606.824,6.0
carini,153.0,0.40522875816993464,0.1503267973856209,0.058823529411764705,537.091,12.0
carolina,85.0,0.023529411764705882,0.0,0.0,99.265,14.0
cars-trucks-buses,89.0,0.02247191011235955,0.02247191011235955,0.011235955056179775,276.14,4.0
casino-boogie,1.0,0.0,0.0,0.0,372.663,13.0
casual-enlightenment,3.0,0.0,0.0,0.0,387.336,9.0
catapult,36.0,0.1388888888888889,0.05555555555555555,0.0,205.77949999999998,12.0
cathy-s-clown,1.0,0.0,0.0,0.0,220.896,1.0
cavern,487.0,0.043121149897330596,0.008213552361396304,0.002053388090349076,282.34450000000004,11.0
cecilia,1.0,0.0,0.0,0.0,131.056,18.0
chalk-dust-torture,530.0,0.15849056603773584,0.07169811320754717,0.026415094339622643,425.064,9.0
chalk-dust-torture-reprise,6.0,0.0,0.0,0.0,189.72,21.5
champagne-supernova,1.0,0.0,0.0,0.0,111.177,20.0
character-zero,261.0,0.06513409961685823,0.007662835249042145,0.0038314176245210726,446.119,15.0
chariots-of-fire,1.0,0.0,0.0,0.0,215.406,15.0
che-hun-ta-mo,1.0,0.0,0.0,0.0,249.861,6.0
chocolate-rain,1.0,0.0,0.0,0.0,180.611,1.0
choo-choo-ch-boogie,1.0,0.0,0.0,0.0,330.227,25.0
cinnamon-girl,5.0,0.0,0.0,0.0,278.0905,17.0
cities,115.0,0.17391304347826086,0.06086956521739131,0.008695652173913044,418.038,8.0
clear-your-mind,4.0,0.0,0.0,0.0,424.296,6.5
clod,11.0,0.0,0.0,0.0,301.4665,18.0
clone,1.0,0.0,0.0,0.0,273.607,2.0
cocaine,1.0,0.0,0.0,0.0,389.747,17.0
coconut,1.0,0.0,0.0,0.0,150.152,17.0
cold-as-ice,85.0,0.047058823529411764,0.011764705882352941,0.0,185.6,22.0
cold-rain-and-snow,1.0,1.0,1.0,0.0,962.795,19.0
cold-water,1.0,0.0,0.0,0.0,313.365,9.0
colonel-forbin-s-ascent,129.0,0.26356589147286824,0.015503875968992248,0.0,441.2735,7.0
come-on-baby-let-s-go-downtown,2.0,0.0,0.0,0.0,212.1535,3.5
come-on-part-one,1.0,0.0,0.0,0.0,318.119,30.0
come-together,3.0,0.3333333333333333,0.0,0.0,450.8215,14.0
communication-breakdown,7.0,0.0,0.0,0.0,258.351,14.0
contact,176.0,0.03409090909090909,0.011363636363636364,0.005681818181818182,396.513,19.0
cool-amber-and-mercury,8.0,0.0,0.0,0.0,445.284,8.0
cool-it-down,12.0,0.08333333333333333,0.0,0.0,410.462,7.5
cool-jerk,1.0,0.0,0.0,0.0,565.656,20.0
corinna,31.0,0.03225806451612903,0.0,0.0,299.442,11.0
corona,1.0,0.0,0.0,0.0,374.7,11.0
costume-contest,3.0,0.3333333333333333,0.3333333333333333,0.0,444.578,13.0
cracklin-rosie,52.0,0.07692307692307693,0.0,0.0,187.011,21.0
crazy-sometimes,9.0,0.1111111111111111,0.0,0.0,441.365,7.0
crimes-of-the-mind,8.0,0.0,0.0,0.0,374.24350000000004,19.0
crosseyed-and-painless,72.0,0.7638888888888888,0.2361111111111111,0.05555555555555555,754.377,13.0
crossroads,9.0,0.1111111111111111,0.0,0.0,293.59,15.0
crowd-control,23.0,0.043478260869565216,0.0,0.0,278.736,1.0
cry-baby-cry,5.0,0.0,0.0,0.0,253.858,7.0
cryin,1.0,0.0,0.0,0.0,284.891,16.0
cut-my-hair,1.0,0.0,0.0,0.0,230.034,13.0
dahlia,1.0,0.0,0.0,0.0,347.298,25.0
daniel-saw-the-stone,24.0,0.0,0.0,0.0,213.7995,9.5
dave-s-energy-guide,23.0,0.043478260869565216,0.0,0.0,274.495,11.0
david-bowie,507.0,0.8402366863905325,0.20315581854043394,0.03550295857988166,743.6279999999999,12.0
day-or-night,1.0,0.0,0.0,0.0,342.909,16.0
day-tripper,1.0,0.0,0.0,0.0,509.38800000000003,5.0
dazed-and-confused,1.0,0.0,0.0,0.0,365.714,8.0
dear-mrs-reagan,13.0,0.0,0.0,0.0,285.022,14.0
dear-prudence,3.0,0.0,0.0,0.0,239.016,14.0
death-don-t-hurt-very-long,13.0,0.0,0.0,0.0,375.06600000000003,14.0
dec-1661,1.0,0.0,0.0,0.0,357.642,13.0
dem-bones,3.0,0.0,0.0,0.0,157.257,19.0
demand,16.0,0.0625,0.0,0.0,114.23349999999999,7.5
destiny-unbound,56.0,0.0,0.0,0.0,379.533,7.5
devil-with-a-blue-dress-on-jam,1.0,0.0,0.0,0.0,447.4515,9.0
devotion-to-a-dream,22.0,0.045454545454545456,0.0,0.0,406.2435,6.0
diamond-girl,1.0,0.0,0.0,0.0,399.83,29.0
digital-delay-loop-jam,10.0,0.6,0.1,0.1,607.869,15.5
dinner-and-a-movie,150.0,0.02,0.006666666666666667,0.0,220.16,9.0
dirt,81.0,0.04938271604938271,0.024691358024691357,0.0,274.051,7.0
discern,4.0,0.75,0.0,0.0,621.9884999999999,10.0
divided-sky,443.0,0.8668171557562077,0.24830699774266365,0.0,820.3885,6.0
dixie-cannonball,1.0,0.0,0.0,0.0,158.746,4.0
dixie-chicken,1.0,0.0,0.0,0.0,536.189,19.0
doctor-jimmy,1.0,0.0,0.0,0.0,513.829,24.0
dog-faced-boy,55.0,0.0,0.0,0.0,149.316,9.0
dog-log,30.0,0.03333333333333333,0.0,0.0,277.0415,9.0
dogs-stole-things,44.0,0.0,0.0,0.0,271.83,3.0
doin-my-time,2.0,0.0,0.0,0.0,395.115,8.0
don-t-bogart-that-joint,2.0,0.0,0.0,0.0,131.422,12.0
don-t-doubt-me,5.0,0.4,0.0,0.0,554.841,13.0
don-t-get-me-wrong,3.0,0.3333333333333333,0.0,0.0,431.595,16.0
don-t-pass-me-by,1.0,0.0,0.0,0.0,146.184,26.0
don-t-want-you-no-more,2.0,0.0,0.0,0.0,374.909,8.0
don-t-you-want-to-go,6.0,0.0,0.0,0.0,368.091,1.5
donna-lee,28.0,0.0,0.0,0.0,277.9165,9.0
dooley,2.0,0.0,0.0,0.0,183.5815,6.0
down-by-the-river,1.0,1.0,1.0,0.0,1144.398,6.0
down-home-dirty-blues,1.0,0.0,0.0,0.0,446.537,7.0
down-with-disease,337.0,0.6439169139465876,0.34124629080118696,0.10682492581602374,731.5854999999999,11.0
dr-gabel,1.0,0.0,0.0,0.0,430.315,8.0
drift-while-you-re-sleeping,31.0,0.9032258064516129,0.03225806451612903,0.0,739.892,11.0
drifting,1.0,0.0,0.0,0.0,556.251,4.0
drive-in-jam,1.0,1.0,1.0,1.0,1344.880319999996,32.0
driver,41.0,0.0,0.0,0.0,232.725,8.0
drowned,48.0,0.8541666666666666,0.3333333333333333,0.125,817.946,12.0
drums,11.0,0.09090909090909091,0.09090909090909091,0.0,366.0,11.0
dust-in-the-wind,1.0,0.0,0.0,0.0,112.718,8.0
earache-my-eye,1.0,0.0,0.0,0.0,516.258,13.0
easy-to-slip,1.0,0.0,0.0,0.0,523.363,12.0
eclipse,1.0,0.0,0.0,0.0,381.1,23.0
egg-in-a-hole,5.0,0.0,0.0,0.0,296.976,10.0
el-paso,1.0,0.0,0.0,0.0,415.112,18.0
eliza,22.0,0.045454545454545456,0.0,0.0,92.591,12.0
emotional-rescue,6.0,0.5,0.3333333333333333,0.0,591.125,3.0
end-of-session,2.0,0.0,0.0,0.0,220.968,9.0
energy,10.0,0.6,0.0,0.0,651.3765000000001,12.0
esther,136.0,0.08823529411764706,0.0,0.0,549.512,7.0
ether-edge,12.0,0.5833333333333334,0.25,0.08333333333333333,740.328,10.0
evening-song,5.0,0.0,0.0,0.0,226.351,1.0
everybody-s-got-something-to-hide-except-me-and-my-monkey,2.0,0.0,0.0,0.0,327.6405,17.0
everyday-i-have-the-blues,1.0,1.0,1.0,1.0,1403.977,5.0
everything-in-its-right-place,1.0,0.0,0.0,0.0,595.67,13.0
everything-is-hollow,4.0,0.0,0.0,0.0,355.1835,5.5
everything-s-right,69.0,0.8405797101449275,0.36231884057971014,0.07246376811594203,794.044,12.0
evolve,28.0,0.03571428571428571,0.0,0.0,409.092,6.0
eyes-of-the-world,3.0,1.0,0.6666666666666666,0.0,952.32,12.0
